Tags,TCGA-AN-A0AK-01,TCGA-EW-A1PC-01,TCGA-GM-A2DL-01,TCGA-AO-A0J2-01,TCGA-A8-A085-01,TCGA-S3-AA10-01,TCGA-AR-A24W-01,TCGA-A8-A08T-01,TCGA-A8-A097-01,TCGA-EW-A1P6-01,TCGA-E9-A22B-01,TCGA-A2-A0T6-01,TCGA-AR-A1AY-01,TCGA-PE-A5DC-01,TCGA-A8-A06Q-01,TCGA-C8-A1HI-01,TCGA-D8-A1XD-01,TCGA-BH-A1EN-11,TCGA-BH-A0EI-01,TCGA-A2-A4S1-01,TCGA-A8-A09Z-01,TCGA-E2-A1IG-01,TCGA-D8-A1X9-01,TCGA-BH-AB28-01,TCGA-BH-A1F0-01,TCGA-A7-A426-01,TCGA-BH-A1F5-01,TCGA-AC-A8OR-01,TCGA-EW-A1OX-01
hsa-mir-4677,0.073356658,0.272265604,0.026631833,0.083893472,0.025803297,0.109326601,0.050799405,0.030393617,0.067691607,0.051441075,0.055463194,0.014858612,0.314912429,0.10346274,0.090560095,0.068964292,0.039219753,0.036745636,0.025980207,0.078642296,0.064012155,0.062100148,0.037275989,0.057947995,0.074481626,0.031134861,0.026177166,0.06794732,0.047690306
hsa-mir-4709,0.18886758,0.081108927,0.080415935,0.252001078,0.186249664,0.168981664,0.120271377,0.150606114,0.07158949,0.228160126,0.120506658,0.176008043,0,0.107420725,0,0.237483468,0.126337595,0.111626272,0.151332106,0.103787911,0,0.116139921,0.217127466,0.059141179,0.229946547,0.121478719,0.146691693,0.091188564,0
hsa-mir-4728,0.028009885,0.018043211,0.000993838,0.00622881,0.003452702,0.009397766,0.017836763,0.005583886,0.002654258,0.042296431,0.008191186,0.00652569,0.012253395,0.019913708,0,0.015408681,0.028104635,0.053802664,0.002805401,0,0.016290399,0.016147544,0.033542654,0.013156342,0.004262762,0.003002637,0.013596889,0.003380915,0.006690033
hsa-mir-4742,0.134627422,0.289077821,0.019107234,0,0,0.090339378,0,0,0,0.487907075,0.028632975,0.041820322,0.235580121,0.038285489,0,0.042320403,0.180110481,0.159137499,0,0.295925832,0.25055541,0.082786141,0.051590449,0.105391681,0.163909078,0,0.261409724,0.065000469,0.146994985
hsa-mir-4746,0.043156714,0.157535554,0.049000615,0.028791438,0.021279257,0.086878621,0.054964603,0,0.106329362,0.026067579,0.016062721,0.013406093,0.141597197,0.085910701,0.01397172,0.033915983,0.043302702,0,0.048987981,0.005928949,0.070279183,0.099518429,0.107497359,0.027027814,0.09195089,0.018505461,0.016759709,0.059037684,0.038286062
hsa-mir-4772,0.085742125,0.022093104,0.03163958,0.137284187,0,0.199457175,0.054600799,0.027348887,0.039000217,0.055242756,0.045589713,0.053269434,0.060014921,0.034136825,0.033310196,0.043125123,0.005735483,0.091217008,0.009160235,0.00942353,0.031914974,0.036907636,0.055857215,0.045643169,0.146147652,0.033089368,0.039957067,0.002759848,0
hsa-mir-483,0.001139617,0.001468221,0.000754795,0.000337903,0.000374607,8.50E-05,0.004354267,0.000302917,0.000143989,0.000764837,0.002019809,0.000118003,0.001495634,0.001404371,0,0.000955309,0.004192732,0.011225789,0.003855437,0.000626251,0,0.002102346,0.000145571,0.001605847,0.003468715,0.000488665,0.002065304,0.002262046,0.000155539
hsa-mir-484,0.165033515,0.106521014,0.02851284,0.109552095,0.0305188,0.081229882,0.048309162,0.077836565,0.03142397,0.290575848,0.188213222,0.017960712,0.084834648,0.069001962,0.060832777,0.126998483,0.093883485,0.135188794,0.032471093,0.216043208,0.115187264,0.06911353,0.008082728,0.035535358,0.264390982,0.016695346,0.175777081,0.063268476,0.056774833
hsa-mir-485,0.018223645,0.039130604,0.023277741,0.024315334,0.014975868,0.002717476,0.027078015,0.029063679,0.009210127,0.022014944,0.020671243,0.009434912,0.013287066,0.01727487,0.003933195,0.021005002,0.02844379,0.035902365,0.021091606,0,0.005652681,0.029883253,0.001163911,0.011412947,0.051770409,0.014326113,0.011795116,0.000977631,0
hsa-mir-486-1,0.000439729,0.000215818,0.001916852,0.000223512,6.19E-05,0.001643974,0.004160305,0.000751387,0.000261922,0.000126479,0.00196398,0.000663468,0.000796948,0.002590335,0,0.000375195,0.007206537,0.007796783,0.00016778,0.000517807,0,0.001525837,0.001998026,0.00027539,0.006156764,0.002599358,0.001073391,0.059193758,0.000617303
